gpx_file,title,difficulty,distance,ele_gain,est_time,type,description
Mount Mitsutoge - Mitsutouge Station - Kawaguchiko Station.gpx,"Mount Mitsutoge - Mitsutouge Station - Kawaguchiko Station",Hard,10 miles,"4,179 feet",7-8 hours,Point to point,"This trail is renowned for offering a spectacular, postcard-perfect view of Mount Fuji. The path is an uphill journey, mainly on a rugged, rocky trail and a series of wooden and stone staircases. The final section features a scramble, and ladders and chains aid some of the steeper parts. Along the way, hikers will pass through a beautiful forest of Japanese beech and oak trees. The reward for the climb is the unobstructed view of Mount Fuji."
Lake Kawaguchi Walk.gpx,"Lake Kawaguchi Walk",Moderate,11.8 miles,"1,171 feet",5-5.5 hours,Loop,"This trail follows the northern shoreline of Lake Kawaguchi, one of the famous Fuji Five Lakes. The path winds along the edge of the lake, passing through beautiful waterfront parks, such as Oishi Park, which is renowned for its seasonal flowers. The main reward for this walk is the world-renowned, postcard-perfect, unobstructed view of Mount Fuji. On a clear and calm day, the trail provides a magnificent, mirror-like reflection of the volcano's entire snow-capped cone in the still waters of the lake."
Nishizawa_Gorge_Loop.gpx,"Nishizawa Gorge Loop",Moderate,5.8 miles,"1,751 feet",3.5-4 hours,Loop,"This trail is a continuous journey that follows the upper course of the river. The route is characterized by navigating over numerous waterfalls and deep, clear pools, utilizing fixed wooden steps, bridges, and steel chains that are bolted into the cliff faces to assist hikers over the steep, slick rock. The entire gorge is heavily shaded by a cool, dense forest of Japanese beech, maple, and tsuga trees. Due to the high number of slippery sections, proper hiking shoes with a strong grip are mandatory."
Ashinoko Skyline Trail.gpx,"Ashinoko Skyline Trail",Moderate,7.9 miles,"2,391 feet",5-5.5 hours,Point to point,"This trail takes you along the high ridge of the Ashinoko Skyline. You will be walking alongside cars, so you must be very careful. The main reward for this walk is the non-stop panoramic view from the ridge. On one side, you get a breathtaking, unobstructed view of the entire Lake Ashi (Ashinoko). On the other side, on a clear day, you are treated to one of the most magnificent views of Mount Fuji. The road is lined with beautiful cherry blossoms in the spring, and is famous for its autumn colors."
Chisuji_Falls__Mount_Sengen__HakoneYumoto_Loop.gpx,"Chisuji Falls - Mount Sengen - Hakone-Yumoto Loop",Hard,9.2 miles,"2,529 feet",5.5-6 hours,Loop,"Experience this 9.2-mile loop trail near Ashigarashimo, Kanagawa. Generally considered a challenging route, it takes an average of 5 h 19 min to complete. This trail is great for camping and hiking, and it's unlikely you'll encounter many other people while exploring."
fushimi_inari_walking_tour.gpx,"Fushimi Inari Walking Tour",Moderate,2.8 miles,"679 feet",1.5-2 hours,Loop,"A Fushimi Inari walking tour takes you up the forested slopes of Mount Inari through a mesmerizing tunnel of thousands of vibrant, vermilion torii gates. This sacred, 1,300-year-old pilgrimage site introduces visitors to Japan's Shinto traditions, the legend of fox messengers (kitsune), and ancient agricultural deities."
hakone-round-course.gpx,"Hakone Round Course",Easy,27 miles,"N/A",3-5 hours,Loop,"A popular and attractive way of visiting Hakone is by circling the region with five different means of transport (train, cablecar, ropeway, boat and bus), using the Hakone Freepass. The round course circles the Hakone region in both directions."
Lake Ashinoko Loop.gpx,"Lake Ashinoko Loop",Hard,12.4 miles,"1,683 feet",5.5-6 hours,Loop,"This trail is a walk along a preserved section of the Old Tokaido Road, the ancient highway used by samurai and feudal lords traveling between Kyoto and Edo. The trail takes visitors through a magnificent, ancient forest, including the Avenue of Cedars, a path lined with giant Japanese cedar trees planted centuries ago. The main reward for the walk is the spectacular view. Visitors will pass by the Hakone Shrine, famous for its red Gate of Peace, which stands in the water. On a clear day, the trail offers an unobstructed view of the cone-shaped Mount Fuji rising in the distance above the lake."
Hatajuku-Mount Takanosu-Kowakidani.gpx,"Hatajuku - Mount Takanosu - Kowakidani",Moderate,3.2 miles,"1,017 feet",2-2.5 hours,Point to point,"This trail takes hikers on a steep, forested climb to the summit of Mount Takanosu. Hikers will be hiking deep into a beautiful, shady forest of native Japanese cedar and beech trees. The trail can be muddy and slippery after rain. The reward for this climb is the panoramic view from the summit. On a clear day, hikers get a spectacular vista of Mount Fuji, Lake Ashi, and Sagami Bay. The trail then descends, finishing near the famous Chisuji Falls and the hot spring town of Kowakidani."
Old Tokaido Road-Hakone Sekisho-Hatajuku.gpx,"Old Tokaido Road: Hakone Sekisho - Hatajuku",4 miles,"1,519 miles",2-2.5 hours,Point to point,"This trail is an atmospheric journey back in time, taking visitors on one of the best-preserved sections of the Old Tokaido Road. This was the original, historic highway used by samurai, merchants, and feudal lords traveling between Kyoto and Edo during the Edo Period. The trail features the original, moss-covered stone paving. These ancient stones are famously slippery, especially after rain. The path is a beautiful, shady climb through a magnificent, old-growth forest of towering Japanese cedar trees."
Lake Ashinoko.gpx,"Lake Ashinoko",Moderate,7.2 miles,"895 feet",3-3.5 hours,Point to point,"This trail takes you along the scenic southern shore of Lake Ashi. The most beautiful part of this walk is Ancient Cedar Avenue, a magnificent path lined with over 400 giant Japanese cedar trees that were planted in the 17th century to provide shade for travelers. The walk takes you through the beautiful Onshi-Hakone Park, offering continuous and stunning views of the lake. The main reward is the iconic, postcard-perfect view of the Hakone Shrine's famous red Gate of Peace standing majestically in the water. On a clear day, you can also see the magnificent Mount Fuji."
Mount Kintoki Loop.gpx,"Mount Kintoki Loop",Hard,3.4 miles,"1,807 feet",3-3.5 hours,Point to point,"This trail features a steep climb on rugged, rocky paths, requiring a scramble up an exposed ridge with the aid of fixed ropes and ladders to reach the summit. The main reward for the climb is the spectacular, unobstructed, 360-degree panoramic view from the summit. On a clear day, it offers one of the most iconic and up-close views of Mount Fuji, as well as a comprehensive vista over the entire Hakone caldera, Lake Ashi, and the distant Sagami Bay."
Mt. Fuji-Yoshida Route.gpx,"Mt. Fuji: Yoshida Route",Hard,10.8 miles,"5,157 feet",10 hours,Loop,"The trail starts at the Fuji-Subaru Line 5th Station and ascends the northeastern slope of the volcano. The path is a wide, rocky, and steep series of switchbacks. Hikers typically reach the summit before dawn to witness 'Goraiko,' the spectacular sunrise over a sea of clouds. This trail requires a climbing fee, and a new online reservation may be required to pass the 5th Station gate. For more information, visit https://www.fujisan-climb.jp/en/"
Mount Myojyogatake - Mount Tonomine - Hakone-Yumoto.gpx,"Mount Myojyogatake - Mount Tonomine - Hakone-Yumoto",Hard,6.9 miles,"3,395 feet",5.5-6 hours,Point to point,"A hike on the trail leads you to Mount Myojyogatake via Mount Tonomine from Hakone-Yumoto station. Those mountains are known for the stunning autumn colors."
Mount Myojogatake - Mount Myojingatake - Yagurasawa Pass.gpx,"Mount Myojogatake - Mount Myojingatake - Yagurasawa Pass",Hard,7.6 miles,"3,064 feet",5.5-6 hours,Point to point,"This trail features a steep climb with numerous stairs up Mount Myojogatake. The mountain is a renowned mountain where the giant 'Dai' character is set on fire for the Hakone Daimonji-yaki festival. The trail then continues along a beautiful, open, grassy ridge. Hikers are rewarded with a stunning vista of Mount Fuji and Sagami Bay. From here, the path is a long, steep descent through the beautiful forests of Fuji-Hakone-Izu National Park to the Yagurasawa Pass."
